pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,barrel
FF,2017-04-15,95.3,-1.9511,5.7076,Javier Baez,595879,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,2,2,2017,-0.3401,1.6125,0.9153,0.2823,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194640,8.5826,-138.2751,-12.8309,-6.3657,27.562,-7.6654,3.3605,1.5696,NA,NA,NA,98.346,2270,7.946,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.6002,0,0,NA,NA,NA,NA,NA,34,6,NA
CH,2017-04-15,86.8,-2.0879,5.6027,Javier Baez,595879,607192,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,CHC,PIT,S,NA,NA,2,2,2017,-0.8247,0.5404,0.1092,2.1482,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194612,7.2023,-126.4203,-3.3944,-10.6241,22.7728,-25.5826,3.746,1.535,NA,NA,NA,89.605,1771,7.606,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8106,0,0,NA,NA,NA,NA,NA,34,5,NA
CU,2017-04-15,80,-1.9002,5.8225,Javier Baez,595879,607192,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,B,NA,NA,1,2,2017,0.3541,-0.8752,1.2806,-0.7187,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194549,6.4722,-116.3045,-6.0319,1.9576,24.5907,-39.2863,3.4613,1.6201,NA,NA,NA,81.331,2608,7.618,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.9772,0,0,NA,NA,NA,NA,NA,34,4,NA
FF,2017-04-15,91.7,-1.8761,5.6836,Javier Baez,595879,607192,NA,ball,NA,NA,NA,NA,12,NA,R,R,R,CHC,PIT,B,NA,NA,0,2,2017,-0.1484,1.7849,1.1506,3.894,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194532,8.2487,-133.3867,-2.7919,-3.7609,30.6476,-9.2343,3.2094,1.5528,NA,NA,NA,94.336,2327,7.968,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.514,0,0,NA,NA,NA,NA,NA,34,3,NA
FF,2017-04-15,94.5,-1.8989,5.7687,Javier Baez,595879,607192,NA,called_strike,NA,NA,NA,NA,8,NA,R,R,R,CHC,PIT,S,NA,NA,0,1,2017,-0.9183,1.6097,-0.1726,1.5443,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194517,6.7987,-137.3249,-9.2916,-13.6467,29.4916,-8.9592,3.1422,1.5024,NA,NA,NA,96.857,2342,7.641,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8768,0,0,NA,NA,NA,NA,NA,34,2,NA
FF,2017-04-15,93.9,-2.033,5.7693,Javier Baez,595879,607192,NA,called_strike,NA,NA,NA,NA,9,NA,R,R,R,CHC,PIT,S,NA,NA,0,0,2017,-1.0281,1.3429,0.451,1.5952,NA,NA,NA,0,4,Bot,NA,NA,NA,NA,465041,NA,170415_194502,9.0118,-136.453,-8.4133,-15.3101,27.1307,-12.9802,3.4277,1.5696,NA,NA,NA,96.266,2306,7.592,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,53.0064,0,0,NA,NA,NA,NA,NA,34,1,NA
FT,2017-04-15,94,-2.1302,5.6715,Jake Arrieta,453562,607192,field_out,hit_into_play,NA,NA,NA,NA,4,"Jake Arrieta grounds out, shortstop Adam Frazier to first baseman Josh Bell.",R,R,R,CHC,PIT,X,6,ground_ball,3,2,2017,-1.3886,1.1056,-0.6602,2.6256,NA,NA,575929,2,3,Bot,116.69,144.16,NA,NA,465041,NA,170415_193133,7.2028,-136.6827,-4.8458,-19.8044,30.3691,-16.7525,3.924,1.627,56,84,1.676,96.318,2211,7.644,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.8392,0.311,0.293,0,1,0,0,2,29,7,0
FF,2017-04-15,95.1,-2.0515,5.6635,Jake Arrieta,453562,607192,NA,foul,NA,NA,NA,NA,4,NA,R,R,R,CHC,PIT,S,NA,NA,3,2,2017,-0.9537,1.8026,-0.583,3.0606,NA,NA,575929,2,3,Bot,NA,NA,NA,NA,465041,NA,170415_193106,6.2841,-138.3425,-5.5749,-14.3223,31.7153,-6.6895,3.924,1.627,152,74.3,17.1122,97.808,2366,7.848,490265,607192,465041,605137,593700,501896,624428,543281,516782,457705,52.62,0,0,NA,NA,NA,NA,4,29,6,0
FF,2017-04-15,93.9,-2.1337,5.7131,Jake Arrieta,453562,607192,NA,called_strike,NA,NA,NA,NA,14,NA,R,R,R,CHC,PIT,S,NA,NA,3,1,2017,-0.7067,1.7643,0.8422,2.5199,NA,NA,575929,2,3,Bot,NA,NA,NA,NA,NA,NA,170415_193047,9.5675,-136.3691,-6.7876,-11.2865,28.8331,-7.7515,3.547,1.7373,NA,NA,NA,96.214,2297,7.667,490265,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8787,0,0,NA,NA,NA,NA,NA,29,5,NA
FF,2017-04-15,92.2,-2.1907,5.6725,Jake Arrieta,453562,607192,NA,called_strike,NA,NA,NA,NA,4,NA,R,R,R,CHC,PIT,S,NA,NA,3,0,2017,-1.0277,1.5751,-0.8132,2.9704,NA,NA,575929,2,3,Bot,NA,NA,NA,NA,NA,NA,170415_193029,6.0012,-134.0402,-4.7233,-14.3208,30.1862,-11.3814,3.9248,1.8801,NA,NA,NA,94.418,2319,7.744,490265,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7826,0,0,NA,NA,NA,NA,NA,29,4,NA
